alex排名	域名
7	wikipedia.org@ns2.wikimedia.org
89	about.com@txdns2.about.com
97	livedoor.com@ns5.livedoor.com
120	weather.com@dns3.weather.com
154	goo.ne.jp@ns.via.or.jp
179	wikimedia.org@ns2.wikimedia.org
196	hardsextube.com@ns1.netvertise.us
259	linkbucks.com@ns2.pkdomains.net
265	liveinternet.ru@ns.liveinternet.ru
266	y8.com@ns2.y8.com
271	mobile01.com@dns2.mobile01.com
303	pof.com@pv-0001.pof.com
315	doublepimp.com@ns2.pkdomains.net
328	zing.vn@ns3.sonthuy.com.vn
334	4dsply.com@ns2.pkdomains.net
340	movie2k.to@ns05.9it.de
369	incredibar.com@ns1p.incredizone.com
384	naukri.com@ns1.dn.net
396	enet.com.cn@ns2.enet.com.cn
446	friv.com@ns3.gamedns.com
467	americanexpress.com@gw4.aexp.com
482	myfreecams.com@ns2.metapeer.com
522	hatena.ne.jp@ns1.future-s.com
523	ce.cn@dns.ce.cn
524	irctc.co.in@ns2.rcil.gov.in
531	searchfunmoods.com@ns3.ringtonemoods.com
533	rapidgator.net@ns2.rapidgator.net
540	indianrail.gov.in@ns1.indianrail.gov.in
581	24h.com.vn@dns1.24h.com.vn
585	haber7.com@dns2.hosttoweb.net
599	haberturk.com@ns1.cyh.com.tr
620	123rf.com@ns6.zoneedit.co.uk
632	tokobagus.com@ns3.tokobagus.com
653	ad6media.fr@dns1.sd1.fr
677	allrecipes.com@dns2.allrecipes.com
709	exblog.jp@dns04.excite.co.jp
728	over-blog.com@ns0.proceau.net
751	dantri.com.vn@ns6.synerfy.com
770	viva.co.id@dns2.vivanews.com
772	beva.com@ns4.01isp.net
773	sporx.com@ns1.maksimum.net
822	excite.co.jp@dns04.excite.co.jp
831	wiktionary.org@ns1.wikimedia.org
834	gismeteo.ru@ns18.gismeteo.ru
837	spotify.com@ns3.spotify.com
847	quickmeme.com@ns2.quickmeme.com
851	vporn.com@ns3.vporn.com
878	probux.com@ns1.probux.com
880	admagnet.net@ns3.nttindia.com
917	directadvert.ru@ns2.flexum.ru
985	akhbarak.net@ns2.akhbarak.net
1000	udn.com@dns2.udn.com
1006	aftonbladet.se@dns-ext1.aftonbladet.se
1019	mangahere.com@dns3.mtgsy.com
1025	adult-empire.com@ns1.adult-empire.com
1036	jeuxvideo.com@ns-02.odysseeinteractive.fr
1044	ultimate-guitar.com@ns1.ultimate-guitar.com
1116	fidelity.com@fidns4.fidelity.com
1122	amung.us@NS3.amung.us
1123	pantip.com@ns1.hostpacific.net
1126	bhsrv.net@ns2.beyondhosting.net
1169	hotfile.com@ns1.hotfile.com
1194	beytoote.com@ns2.hannoverit.com
1201	mangafox.me@dns3.mtgsy.com
1219	majesticseo.com@ns2.majesticseo.com
1242	semrush.com@ns3.semrush.com
1273	seasonvar.ru@ns2.hostvar.ru
1274	ria.ru@m10.rian.ru
1281	shopclues.com@ns2.shopclues.com
1366	filecrop.com@ns1.filecrop.com
1368	wmmail.ru@ns1.wmmail.ru
1372	sfgate.com@ns2.hearstnp.com
1382	yobt.tv@ns2.yobt.tv
1415	chron.com@houston2.chron.com
1423	allocine.fr@wns1.allocine.fr
1441	mysearchdial.com@ns4.ringtonemoods.com
1481	vid2c.com@ns2.vid2c.com
1551	pgmediaserve.com@ns1.dnshawk.com
1576	coffetube.com@ns3.coffetube.com
1582	fotolia.com@ns1.fotolia.net
1623	macrumors.com@ns1.tecknohost.com
1632	samanyoluhaber.com@ns.stv.com.tr
1732	toptenreviews.com@ns2.techmedianetwork.com
1780	watchtower.com@ns2.secure.net
1783	mihandownload.com@iran1.mihanwebhost.com
1820	alarab.net@ns3.alarab.net
1825	qianlong.com@ms2.21dnn.com
1881	tubeplus.me@ns2.dns.org.il
1890	jia.com@ns3.qeeka.net
1891	rutube.ru@ns2.rutube.ru
1892	pazienti.net@mrddns001.misterdomain.eu
1919	ettoday.net@ns1.ettoday.net
1942	xl.pt@dns1.cofina.pt
1971	searchtermresults.com@ns2004.ztomy.com
1989	mamba.ru@ns2.mamba.ru
1992	state.tx.us@ns9.tex-an.net
2008	statigr.am@ns0.proceau.net
2024	hotelurbano.com.br@db2.hotelurbano.com.br
2027	hdporn.in@ns2.hdporn.in
2039	mommyfucktube.com@ns1.mature-bitches.com
2041	2shared.com@ns2.2shared.com
2051	20minutos.es@ns3.20minutos.es
2055	rincondelvago.com@ns1.dn.net
2075	mediatakeout.com@ns1.mediatakeout.com
2094	jagranjosh.com@ns4c.4cplus.com
2113	coolmovs.com@ns2.coolmovs.com
2126	sports.ru@ns4-l2.nic.ru
2127	tharunaya.co.uk@dns2.extentions.net
2128	shopping.com@ns1any.shopping.com
2131	nextmedia.com@dns03.atnext.com
2132	blic.rs@ns.beotel.rs
2149	funmoods.com@ns5.ringtonemoods.com
2153	webmasterworld.com@ns2.imninjas.com
2159	ideacellular.com@ns2.ideacellularonline.com
2180	recipesfinder.com@ns1.zkonsult.com
2181	zozo.jp@ns.starttoday.jp
2192	hforcare.com@mrddns001.misterdomain.eu
2233	searchtherightwords.com@ns3.dnsexit.com
2245	99acres.com@ns1.dn.net
2260	cnhubei.com@dns3.cnhubei.com
2271	ehowenespanol.com@dns2.demandmedia.com
2273	couchsurfing.org@ns10.zoneedit.com
2316	filmix.net@ns2.hostvar.ru
2322	webaslan.com@ns1.maksimum.net
2323	thaiseoboard.com@ns2.siamhosting.com
2342	xxxkinky.com@ns1.vid2c.com
2394	mundodeportivo.com@dns03.grupogodo.com
2400	homes.com@ns4.homes.com
2401	sf-express.com@ns3.diyixian.com
2405	gogoanime.com@ns4.nookz.com
2407	zjol.com.cn@dns2.zjoldns.com.cn
2417	zerx.ru@ns1.zerx.ru
2426	russianpost.ru@ns02.rtcomm.ru
2437	logsoku.com@ns2.logsoku.com
2438	bigxvideos.com@dns2.bigxvideos.com
2462	1tv.ru@ns.1tv.ru
2507	with2.net@ns2.with2.net
2509	yaplakal.com@ns2.netmediadata.com
2511	newsit.gr@ns2.atcom.gr
2536	womenwan.com@ns3.15yl.com
2537	trafficbroker.com@ns3.trafficbroker.com
2541	redorbit.com@ns2.redorbit.com
2544	leparisien.fr@dns02.ed-amaury.net
2559	pixmania.com@ns2.e-merchant.com
2565	smi2.ru@ns3.e-generator.ru
2591	hottube.me@ns2.vid2c.com
2606	jeevansathi.com@ns1.dn.net
2611	quoka.de@janus.quoka.com
2614	radikal.ru@nameserver.radikal.ru
2623	filefactory.com@ns3.filefactory.com
2632	goo-net.com@dns2.proto-g.co.jp
2650	ime.nu@vpn.ime.nu
2653	zamunda.net@myns2.selfip.org
2662	rencontreshard.com@ns1.2town.net
2669	d1110e4.se@t2.zoneedit.com
2698	persiangig.com@ns50.persiangig.com
2729	ccavenue.com@ns1.securityspace.com
2740	video2mp3.net@ns2.video2mp3.net
